skills
django-suit
django-xadmin
flask-admin
algorithms
python-patterns
django-simple-captcha
django-simple-spam-blocker
django-compressor
django-pipeline
django-storages
flask-assets
django-elastic-transcoder
django-allauth
django-oauth-toolkit
flask-oauthlib
python-oauth2
python-social-auth
python-jws
python-jwt
django-cms
django-cache-machine
django-cacheops
django-viewlet
gooey
python-fire
python-prompt-toolkit
aws-cli
caniusepython3
saws
python-future
python-modernize
configobj
python-decouple
mysql
mysql-python
mysqlclient
pymysql
postgresql
cassandra-python-driver
pymongo
redis-py
txredis
keras
pytorch
tensorflow
ansible
docker
Python
Java
C
C++
JavaScript
TypeScript
SQL 
PHP
Ruby
Swift 
Kotlin
HTML
CSS
JavaScript
React
Angular
Vue.js
Node.js
Django
Flask
Express.js
PostgreSQL
MySQL
MongoDB
Firebase
Oracle
Redis
Cassandra
SQLite
TensorFlow
PyTorch
Scikit-Learn
OpenCV
NLP
Deep Learning
Computer Vision
Pandas
NumPy
Matplotlib
Seaborn
Power BI
Tableau
Excel
Big Data
AWS
Microsoft Azure
Google Cloud
Kubernetes
Docker
CI/CD Pipelines
Network Security
Ethical Hacking
Penetration Testing
Encryption
Cryptography
Android Kotlin
Android Java
iOS (Swift)
Flutter
React Native
enkins
GitHub Actions
Terraform
Ansible
Bash Scripting
CI/CD
Git
GitHub
GitLab
Bitbucket 
Micrsoft Office
Basic Typing Skills
